Date,Close,High,Low,Open,Volume,Symbol
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2021-01-28,2861.0966796875,2931.3139111998876,2849.684694231684,2891.036315473477,3083938,TCS
2021-01-29,2784.837646484375,2879.2662265163744,2774.6786549686954,2873.17979092407,5445659,TCS
2021-02-01,2809.89990234375,2832.8580484086433,2724.6456435409305,2774.67928912063,3985846,TCS
2021-02-02,2867.2724609375,2885.6659398349148,2819.431671985106,2840.9130561526113,2881837,TCS
2021-02-03,2864.22900390625,2896.4062796564235,2830.7537198712025,2875.8199556662817,2505866,TCS
2021-02-04,2853.846435546875,2898.0624132535695,2842.7030118398384,2878.5501133600033,2057261,TCS
2021-02-05,2826.546875,2869.420261675178,2800.635003285282,2863.2442336240642,2366135,TCS
2021-02-08,2876.804443359375,2887.45554036877,2824.0406280894126,2854.7859411054533,2526592,TCS
2021-02-09,2843.508544921875,2905.1781477728023,2831.962388709635,2859.7091757039457,2658751,TCS
2021-02-10,2876.08837890625,2881.548098678052,2825.9651576784386,2850.7582073317863,2127983,TCS
2021-02-11,2869.55419921875,2881.4585070679577,2850.802789250353,2877.6097163095073,1165882,TCS
2021-02-12,2855.9501953125,2904.9098085262062,2848.07364373144,2850.0427269967176,2777404,TCS
2021-02-15,2810.34619140625,2872.239325996635,2802.9171709475922,2872.239325996635,2630853,TCS
2021-02-16,2782.555419921875,2835.229434425715,2774.678868462251,2819.4317534374486,3435770,TCS
2021-02-17,2750.60107421875,2804.0807556355426,2725.9421983301277,2779.242911964982,3678426,TCS
2021-02-18,2736.50390625,2772.798310024721,2712.9190556888316,2743.351008144595,4189909,TCS
2021-02-19,2749.483154296875,2763.1773626452605,2699.628264300904,2737.086517423129,3725028,TCS
2021-02-22,2647.983642578125,2771.098883783548,2634.2892148554342,2771.098883783548,5366696,TCS
2021-02-23,2667.450439453125,2710.2342336083884,2656.5307811590806,2658.3208962407243,3832829,TCS
2021-02-24,2638.7197265625,2688.1716651206516,2614.5977464227003,2660.1115184584087,3774549,TCS
2021-02-25,2680.9658203125,2711.9346792418423,2656.933438609498,2661.901051525302,4224073,TCS
2021-02-26,2590.56494140625,2660.4242223232554,2577.765575573555,2649.3701748950425,5553153,TCS
2021-03-01,2617.3271484375,2653.8455388480575,2597.277947457536,2618.9382956726527,3265871,TCS
2021-03-02,2690.85693359375,2707.549673095929,2638.630226871669,2649.370919789735,3306469,TCS
2021-03-03,2738.071044921875,2742.456740159715,2682.398282234533,2716.500067357942,3509857,TCS
2021-03-04,2729.656982421875,2758.0750597998126,2699.5383830970018,2705.7589894017337,3916760,TCS
2021-03-05,2692.378173828125,2741.740515195055,2682.1298075688724,2699.5834315237335,3203686,TCS
2021-03-08,2691.393310546875,2714.7096038985856,2681.5924738806993,2699.4936252417187,2003125,TCS
2021-03-09,2730.77587890625,2745.052003597564,2678.10187145624,2691.3933454019807,1942397,TCS
2021-03-10,2748.677001953125,2768.5920328933457,2738.876165261808,2752.3020288170133,3053778,TCS
2021-03-12,2737.041015625,2789.8942042637805,2722.183192360685,2752.301789576877,2938317,TCS
2021-03-15,2744.380859375,2773.7835898701724,2721.8702474331058,2721.8702474331058,3097083,TCS
